uf_origem,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RO,RS,RR,SC,SE,SP,TO
PR,24.144864953097105,20.804513367132046,24.779404919408538,25.52323134525887,16.480525022271134,24.196410212129337,9.748085779572161,10.337345909086917,8.756776776166273,23.4325459763371,11.972481910745703,7.310395427141885,7.684937498873622,23.993082084360772,23.29988758854087,0.0,22.557408767051705,21.374747023670572,6.553073506616566,24.145215196728998,22.18535496576627,4.993122758131326,30.47934068266714,2.2631409724124536,18.958421790097848,3.233534487074013,15.224234931757064
MA,24.691748124654296,11.089556771184322,15.765658310082708,7.270441252058157,11.900352939749684,5.849681345861922,13.728211786517319,18.17803014591504,14.987667612974509,0.0,17.614370656855076,20.691880466787573,17.363922231080227,4.357082811602509,10.446208085012712,23.4325459763371,10.873899208132334,2.908924237673096,20.383117383223208,9.62329909971549,20.597324424434404,28.361175967377957,17.27462218602746,25.41475608367084,11.039859023565151,21.146251745021125,8.703004341297548
SP,25.15752434357264,17.682626376480982,24.436543017801288,23.992916801828745,13.360682873977137,21.399664125134393,7.868745639134233,7.126645686868753,7.35597823818124,21.146251745021125,12.358117339959598,8.564810679883356,4.543917536952555,22.17793724608754,20.21678357721648,3.233534487074013,19.44983562293985,18.887826332589917,3.4738985414328045,21.111156353954367,22.737147404608987,7.923106783503677,29.88810532139843,4.475303458436422,15.847407530444336,0.0,13.42249513023689
PI,25.48314781128181,8.41942588247738,17.323323530399414,9.69943577598022,8.992163959859994,4.464300827667972,11.86577491012218,15.428441412437293,13.283468489481995,2.908924237673096,16.955375840171435,19.406737827034636,14.886099957508954,6.7249270443998155,8.196595882100626,21.374747023670572,8.463451932326727,0.0,17.844198915870955,7.632531250450598,21.416366291546385,26.353165654422334,19.539006843708155,23.25592940880949,8.197717523730915,18.887826332589917,7.569283639090956
MG,25.861910681384018,13.1409218517117,23.25560604305366,21.166678142435508,8.81778353820715,17.03310695106025,5.7049319530424745,3.647787445932948,6.215923552154819,17.363922231080227,12.89808259831007,10.702383920870945,0.0,19.00181179659266,15.673632921126009,7.684937498873622,14.906286134673556,14.886099957508954,3.078300651201243,16.57960367843903,22.86726581732989,12.465968248083776,28.234955311095398,8.978836143485522,11.303845856264362,4.543917536952555,10.615466566750706
RS,26.07261579014679,25.597771373790433,28.353155783901816,30.073726471713645,21.278922141018796,29.18024069376608,14.638505253390456,14.61303100718345,13.509132465874554,28.361175967377957,15.26440536504531,10.1918302425895,12.465968248083776,28.720576656364766,28.139554191951294,4.993122758131326,27.368837756449395,26.353165654422334,10.693120112860646,29.030030986521005,24.801560780366003,0.0,34.22146879507408,3.5804011197161945,23.76677763640014,7.923106783503677,20.0129076494008
SC,26.084955025389494,22.074594599983484,27.022934777449542,27.72638173242071,17.76459376439982,25.868323093147126,11.823766734214988,11.034161487439635,10.931826926203732,25.41475608367084,14.153087644373752,9.350674525495416,8.978836143485522,26.13483935766451,24.637226505325653,2.2631409724124536,23.852156659306956,23.25592940880949,7.114385422521046,25.5581085233958,24.278472829769214,3.5804011197161945,32.73691860139466,0.0,20.253090073258175,4.475303458436422,17.35128785194344
RJ,27.777992046683444,15.234949519434585,25.955566710825327,24.228201736984545,11.007910565287176,19.71742156047644,8.501906957737953,3.919916518791189,8.657934057744086,20.383117383223208,14.793551693543408,11.654707215618972,3.078300651201243,22.079983586225104,17.858943709901574,6.553073506616566,17.02579477411252,17.844198915870955,0.0,18.88108647243079,25.0483506018063,10.693120112860646,31.08994501898992,7.114385422521046,13.4675828135413,3.4738985414328045,13.648596494647354
ES,29.376323619492364,11.590706496727625,26.146574640458354,22.984165413611716,7.546935120631752,16.631590228635414,8.811284843952388,0.0,9.641309370627676,18.17803014591504,16.466955550991358,14.316983820453979,3.647787445932948,20.52911630114482,14.246582717498852,10.337345909086917,13.376050116503938,15.428441412437293,3.919916518791189,15.350627077790827,26.260034104214455,14.61303100718345,30.811844020407804,11.034161487439635,9.907250497295653,7.126645686868753,12.854233684447161
BA,29.46006464863673,4.324517903734128,23.662311433563815,18.0644577104393,0.0,9.209024762946074,9.795943994454031,7.546935120631752,11.369846575904266,11.900352939749684,17.78456657784305,17.777501237780125,8.81778353820715,15.227479018973067,6.8780052087424295,16.480525022271134,6.089935141872204,8.992163959859994,11.007910565287176,7.873498452592088,25.742028638488947,21.278922141018796,27.22173018229218,17.76459376439982,2.4885941208099784,13.360682873977137,10.191373878360707
CE,29.926662405374802,6.518757479623325,21.489353737095602,13.08187357160372,9.209024762946074,0.0,15.238323044771624,16.631590228635414,16.788464780016067,5.849681345861922,21.17665043936462,23.19074748970804,17.03310695106025,10.204222764079436,4.979772902622169,24.196410212129337,5.64514030564485,4.464300827667972,19.71742156047644,3.9136988842628178,25.851829637629844,29.18024069376608,23.098486602430405,25.868323093147126,7.320876337760938,21.399664125134393,11.744367536402669
SE,30.753434193368935,1.8554771969013835,24.2392768535566,17.764663292836705,2.4885941208099784,7.320876337760938,11.853590609441932,9.907250497295653,13.466971638633678,11.039859023565151,19.584422121432585,19.972177941578323,11.303845856264362,14.824729727181031,4.395524092545281,18.958421790097848,3.6024421108159435,8.197717523730915,13.4675828135413,5.443877848895951,26.91477101786595,23.76677763640014,27.32000346434555,20.253090073258175,0.0,15.847407530444336,11.273574298220103
AL,32.0770493486128,0.0,25.143840486434208,18.117753383689077,4.324517903734128,6.518757479623325,13.614988060799066,11.590706496727625,15.236961791558349,11.089556771184322,21.21000214008177,21.766598423123558,13.1409218517117,15.14422818294581,2.661831056712089,20.804513367132046,1.7912211811077388,8.41942588247738,15.234949519434585,3.8641320457889377,28.177900460065974,25.597771373790433,27.88451742804182,22.074594599983484,1.8554771969013835,17.682626376480982,12.604147437354898
RN,32.866855353228694,3.8641320457889377,24.955240008974567,16.89325940353844,7.873498452592088,3.9136988842628178,16.130628137876407,15.350627077790827,17.75562082190876,9.62329909971549,23.062616795230028,24.32004704926041,16.57960367843903,13.967331016180044,1.3538139014244162,24.145215196728998,2.272220592363338,7.632531250450598,18.88108647243079,0.0,28.842474279914217,29.030030986521005,26.895196369662393,25.5581085233958,5.443877848895951,21.111156353954367,13.845555339973076
PE,32.977582933523344,1.7912211811077388,25.611303378865063,18.081065804968468,6.089935141872204,5.64514030564485,15.11839771367092,13.376050116503938,16.747863383463816,10.873899208132334,22.50249897708986,23.305315824279578,14.906286134673556,15.110198546025963,0.9389678067335422,22.557408767051705,0.0,8.463451932326727,17.02579477411252,2.272220592363338,29.019461728173066,27.368837756449395,27.993861241817736,23.852156659306956,3.6024421108159435,19.44983562293985,13.612687943925733
PB,33.063907976228094,2.661831056712089,25.46501666179319,17.698499234490416,6.8780052087424295,4.979772902622169,15.634772603010767,14.246582717498852,17.26547939989301,10.446208085012712,22.85149300104105,23.833505310061504,15.673632921126009,14.741523989696892,0.0,23.29988758854087,0.9389678067335422,8.196595882100626,17.858943709901574,1.3538139014244162,29.075920819377004,28.139554191951294,27.65979933812487,24.637226505325653,4.395524092545281,20.21678357721648,13.81262788664275
